url,netname,Creation_day,Update_day,Expiration_day,Expiration_Creation_day,ttl,len_domain,len_path,len_parameter,len_tld,'%','$','=','@','?','&','#','.','_','-',';','{','}','[',']','|','+','*',uppercase,digit_ratio,consonant_vowel,https,file_extension,url_shortening
http://a0906562.xsph.ru/logo4.jpg,SPRINTHOST-NET-194,5672.0,,171.0,5844.0,7200,16,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242,0.71429,0,1,1
http://a0906726.xsph.ru/logo.jpg,SPRINTHOST-NET-195,5672.0,,171.0,5844.0,7200,16,9,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.71429,0,1,1
http://a0906726.xsph.ru/logo2.jpg,SPRINTHOST-NET-195,5672.0,,171.0,5844.0,7200,16,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242,0.71429,0,1,1
http://a0906807.xsph.ru/logo6.jpg,SPRINTHOST-NET-195,5672.0,,171.0,5844.0,7200,16,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242,0.71429,0,1,1
http://a0908090.xsph.ru/logo2.jpg,SPRINTHOST-NET-192,5672.0,,171.0,5844.0,7200,16,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242,0.71429,0,1,1
http://a0908090.xsph.ru/logo3.jpg,SPRINTHOST-NET-192,5672.0,,171.0,5844.0,7200,16,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242,0.71429,0,1,1
http://a0912488.xsph.ru/logo.jpg,SPRINTHOST-NET-192,5672.0,,171.0,5844.0,7200,16,9,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.71429,0,1,1
http://a0912696.xsph.ru/logo.jpg,SPRINTHOST-NET-192,5672.0,,171.0,5844.0,7200,16,9,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.71429,0,1,1
http://a0912696.xsph.ru/logo2.jpg,SPRINTHOST-NET-192,5672.0,,171.0,5844.0,7198,16,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242,0.71429,0,1,1
http://a0912696.xsph.ru/logo3.jpg,SPRINTHOST-NET-192,5672.0,,171.0,5844.0,7198,16,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242,0.71429,0,1,1
http://a0914823.xsph.ru/gnTMibhIiOzpiLP.exe,SPRINTHOST-NET-192,5672.0,,171.0,5844.0,7200,16,20,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13953,0.16279,0.71429,0,1,1
http://a0914921.xsph.ru/logo.jpg,SPRINTHOST-NET-192,5672.0,,171.0,5844.0,7200,16,9,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.71429,0,1,1
http://a0915052.xsph.ru/logo2.jpg,SPRINTHOST-NET-192,5672.0,,171.0,5844.0,7200,16,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242,0.71429,0,1,1
