okinawa.jp,[Errno 11001] getaddrinfo failed
agorastore.fr,[Errno 11001] getaddrinfo failed
ttwanda.com,timed out
torrentz.ec,[Errno 11001] getaddrinfo failed
modelblog.org,[Errno 11001] getaddrinfo failed
szcw.cn,[Errno 11001] getaddrinfo failed
isracard.co.il,timed out
ats4m6dr.loan,[Errno 11001] getaddrinfo failed
vasundharatv.com,_ssl.c:1112: The handshake operation timed out
minimundos.com.br,[Errno 11001] getaddrinfo failed
infrance.su,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'infrance.su'. (_ssl.c:1129)"
synclogue-navi.com,timed out
coolio.stream,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
ngwin.com,timed out
yingchao8.com,timed out
okbuy.com,timed out
sgcc.com.cn,[Errno 11001] getaddrinfo failed
ki-topo-ka.com,timed out
minutaotveta.com,[Errno 11001] getaddrinfo failed
vsofte.biz,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'vsofte.biz'. (_ssl.c:1129)"
windowsiso.net,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)
credit-du-nord.fr,[Errno 11001] getaddrinfo failed
comuni-italiani.it,timed out
ruvilla.com,[Errno 11001] getaddrinfo failed
9281.net,[Errno 11001] getaddrinfo failed
anonymous-post.com,timed out
andronavi.com,[Errno 11002] getaddrinfo failed
mensnewsnow.com,[Errno 11002] getaddrinfo failed
yumi.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
71ab.com,_ssl.c:1112: The handshake operation timed out
revelup.com,timed out
geonames.org,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'geonames.org'. (_ssl.c:1129)"
pokemongo-news.com,[Errno 11002] getaddrinfo failed
tietuku.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'tietuku.com'. (_ssl.c:1129)"
subbt.com,timed out
recreativ.ru,[Errno 11002] getaddrinfo failed
vidivodo.com,[Errno 11001] getaddrinfo failed
schools9.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'schools9.com'. (_ssl.c:1129)"
review33.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'review33.com'. (_ssl.c:1129)"
indochino.com,timed out
cbsistatic.com,[Errno 11001] getaddrinfo failed
astamuse.com,[Errno 11001] getaddrinfo failed
mmo.rocks,[Errno 11001] getaddrinfo failed
3pornstarmovies.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
chinaielts.org,timed out
jitaba.cn,[Errno 11001] getaddrinfo failed
vbiran.ir,[Errno 11001] getaddrinfo failed
8800.org,[Errno 11001] getaddrinfo failed
64px.com,timed out
ubar-pro.ru,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ubar-pro.ru'. (_ssl.c:1129)"
mashhad.ir,timed out
ymgk.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ymgk.com'. (_ssl.c:1129)"
only-search.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'only-search.com'. (_ssl.c:1129)"
adbkm.com,timed out
fpanel.ir,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fpanel.ir'. (_ssl.c:1129)"
poopeegirls.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
8gdyhd.com,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)
vogue.com.cn,[Errno 11001] getaddrinfo failed
airast.org,timed out
pucminas.br,[Errno 11002] getaddrinfo failed
uerj.br,[Errno 11001] getaddrinfo failed
pornhdhdporn.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
mytorrents.org,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
uson.mx,timed out
audioboo.ru,[Errno 11001] getaddrinfo failed
guancha.cc,timed out
ysearchtab.com,[Errno 11001] getaddrinfo failed
hinews.cn,timed out
sharelagu.info,timed out
patfun.com,timed out
animesfox-br.com.br,[Errno 11001] getaddrinfo failed
wfcdn.com,timed out
unblocked.team,[Errno 11002] getaddrinfo failed
kessai.info,[Errno 11001] getaddrinfo failed
com.kz,[Errno 11001] getaddrinfo failed
swahilitimes.com,timed out
ymatou.com,timed out
polsl.pl,timed out
eligiusmining.com,timed out
tbzmed.ac.ir,timed out
opencv.org.cn,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'opencv.org.cn'. (_ssl.c:1129)"
dramakita.net,[Errno 11001] getaddrinfo failed
nongjigou.cn,timed out
