isfedu.ir,timed out
ineei.com,timed out
febb.gdn,[Errno 11001] getaddrinfo failed
cc8.cc,timed out
dtdc.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'dtdc.com'. (_ssl.c:1129)"
southern-charms.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
excelpx.com,timed out
usinworld.com,[Errno 11001] getaddrinfo failed
darklyrics.com,timed out
yunos.com,[Errno 11001] getaddrinfo failed
xitonghe.com,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)
1zgo.cn,[Errno 11001] getaddrinfo failed
nukleoseries.com,timed out
fnmt.gob.es,[Errno 11001] getaddrinfo failed
hentai.cafe,timed out
queerclick.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
cijc.gdn,[Errno 11001] getaddrinfo failed
pirateproxy.yt,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
pulsegaming-ocm.com,[Errno 11001] getaddrinfo failed
getty.edu,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
changer.com,[Errno 11001] getaddrinfo failed
eiken.or.jp,[Errno 11001] getaddrinfo failed
fangtoo.com,[Errno 11001] getaddrinfo failed
booksreadingathome.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
akormerkezi.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)
dhankesari.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
concealment.today,[Errno 11001] getaddrinfo failed
clalit.org.il,[Errno 11001] getaddrinfo failed
gw-ec.com,timed out
icarexam.net,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)
rgfootball.net,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'rgfootball.net'. (_ssl.c:1129)"
guitarlist.net,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'guitarlist.net'. (_ssl.c:1129)"
kuwait.tt,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kuwait.tt'. (_ssl.c:1129)"
stj.jus.br,[Errno 11001] getaddrinfo failed
searchisemail.com,[Errno 11001] getaddrinfo failed
isd742.org,timed out
stone66.com,timed out
weather.gov.hk,[Errno 11001] getaddrinfo failed
fox-mall.ru,timed out
drsnysvet.cz,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)
gaysex69.net,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
tankiforum.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)
zjstv.com,timed out
itgheymat.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
squarterun.com,[Errno 11001] getaddrinfo failed
