worldofpcgames.net,timed out
worldwidetorrents.eu,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)
comparis.ch,timed out
t2hosted.com,[Errno 11001] getaddrinfo failed
tvsou.com,timed out
sportium.es,timed out
pcsc.com.tw,timed out
karonty.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
chinaaet.com,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
topys.cn,[WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다
anime-legend.com,timed out
5iyingxiao.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '5iyingxiao.com'. (_ssl.c:1129)"
15too.com,[Errno 11002] getaddrinfo failed
answers.squarespace.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'answers.squarespace.com'. (_ssl.c:1129)"
microsofttranslator.com,timed out
naosalvo.com.br,timed out
nauta.cu,[Errno 11001] getaddrinfo failed
buzzy.com.mm,[Errno 11001] getaddrinfo failed
filchostgurru.com,[Errno 11001] getaddrinfo failed
firethepixel.click,[Errno 11001] getaddrinfo failed
yudexjr.com,[Errno 11001] getaddrinfo failed
96jm.com,[Errno 11002] getaddrinfo failed
behdashtnews.ir,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'behdashtnews.ir'. (_ssl.c:1129)"
uptorrentfilespacedownhostabc.pink,[Errno 11001] getaddrinfo failed
intporn.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
reussissonsensemble.fr,[Errno 11002] getaddrinfo failed
wednet.edu,[Errno 11001] getaddrinfo failed
126.net,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '126.net'. (_ssl.c:1129)"
brother.co.jp,timed out
zhaoshangbao.com,timed out
uam.mx,[Errno 11001] getaddrinfo failed
seriesonlinex.com,timed out
shinybbs.com,[WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다
javfreefull.com,timed out
nudevista.at,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
olozmp3.net,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)
complaintboard.in,[Errno 11001] getaddrinfo failed
ydss.cn,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)
returnofkings.com,[Errno 11002] getaddrinfo failed
tuningtalk.com,timed out
lafitness.com,timed out
kraftrecipes.com,[Errno 11001] getaddrinfo failed
sbiepay.com,[Errno 11001] getaddrinfo failed
okooo.com,[WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다
jjyx.com,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'jjyx.com'. (_ssl.c:1129)"
eduppw.com,[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1129)
sexart.com,[WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다
timeoutcn.com,timed out
ariamovie3.com,timed out
lvdtftxgbsiu.com,[Errno 11001] getaddrinfo failed
craftsvilla.com,timed out
